text,label,source_label,source
""" Hey there faggot I see you don't like no queero-sexual stuff on your gay icon talkpage to Fred """"I like it in the ass, now I hate myself and the world for it"""" Phelps. Well just so you know I read the BLP page and there is nothing on there that suggests I can't paraphrase what's in the source. The woman claimed his overt hatred of homosexuality, like your own denial to giving it up to Bubba, demonstrates the """"the lady doth protest too much"""". Nevertheless being a barely intelligent inbred southerner you scream """"BLP vio"""" throw your little manicured hands in the air and delete: oh what a prissy queen you are. I see you've been blocked for edit warring - what a nobody IRL you must be! BTW just so you know - cos I might be smarter than you on my worst day - editing my comments is a violation of WP:TALK because I was paraphrasing the source's assertions not my own. Secondly like every whiny fag cocksucker on this site, when it comes down to it, all you did was take a sanctimonious tone to hide the fact you're really just got a WP:IDL boner. But hey as a redneck you're already denying it to yourself any hows! Have a nice day y'all! 86.176.8.4 """,offensive_language,insult,external_unified_english
""" What exactly does saying """"How are you niggers today?"""" have to do with this discussion? """"Nigger"""" is a far more inflamatory word than """"homo"""" is! There are far more derogatory terms for homosexuals than homos - that would be on par with """"nigger"""" - but I did not use any of them. And whether admins are """"stupid"""" or not is equally irrelevant. I was blocked for 48 hours for doing what an admin said. If saying """"homo"""" is the cardinal Wiki-sin, at least shorten the block by the 48 hours that I was unfairly blocked. """,hate_speech,hate_speech,external_unified_english
Ass rape Are you in an ass raping relationship with Splash15hotel? Fag semen and whore feces will eventually choke you!!!!,offensive_language,insult,external_unified_english
so wut u got asaulted boo hoo u probly luved gettin fuked in the ass by 2 hott gays,hate_speech,hate_speech,external_unified_english
Naughty naughty u slimy little greaseball. Haha lol u got banned what a dickhead it's what u deserve u fuckin geek bitch-faced motherfucker. You don't know how long I've been waitin for u to get banned and no wonder theres so many imposters of u cause every1 hates u! I hope you get the shit kicked out of you and then get pissed on you fuckin no good slimy little toerag gimp! SCUMMER!,offensive_language,insult,external_unified_english
"Re: Calling a dickhead a dickhead is not a personal attack. Sorry, but if fucks with my edits again, I will call him a dickhead again!",offensive_language,insult,external_unified_english
ONOREM IS A NAZI FAGGOT,hate_speech,hate_speech,external_unified_english
"So fuck off and die, rape fantasising sluts",hate_speech,hate_speech,external_unified_english
""" TYPICAL COMMUNIST CENSORSHIP. WIKIPEDIA SHOULD NOT LET TRANNY PSYCHOPATHS CONTROL THEIR ARTICLES! THESE PEOPLE SHOULD BE LOCKED AWAY IN A NUT HOUSE! This is why Wikipedia is a joke and can never be trusted. It is extremely silly for Wikipedia to label a male transvestite as a """"she."""" It is impossible to change one's sex, you idiotic communist pieces of shit. Science trumps your bizarre fundamentalist socialist religion. Stop enabling people who suffer from gender identity disorder. It is harmful to their health. I fully expect to be maligned as """"transphobic"""" or some other such nonsense for speaking the truth, because that is a common tactic you people use to silence your critics.""",hate_speech,hate_speech,external_unified_english
If only someone would strangel those Muslims.,hate_speech,hate_speech,external_unified_english
""" Now hear this Somchai Sun cracker. Some of us here on Wikipedia are not caught up in the racist swindle of using the word """"Islamism"""". There is nothing wrong with wanting to delete this page -that is not censorship but respect for encyclopedic knowledge, whereas you worshiper of authority want to kiss the ass of all the white scum anti-Muslim pro-war, intellectual nobodies, who want to turn wikipedia into the National Enquirer or some kind of British tabloid. We won't stand for it so don't bother coming back you simple anti-Semitic pseudo-journalistic charlatan!!! - 31 July, 2014""",hate_speech,hate_speech,external_unified_english
Whores just can't help themselves.,hate_speech,hate_speech,external_unified_english
Your mother is illiterate!,offensive_language,insult,external_unified_english
"Once The song is due to chart at #1 in the UK yet, the artical still wont stay open, your pathetic!",offensive_language,insult,external_unified_english
Of course human rights should not apply to trans people.,hate_speech,hate_speech,external_unified_english
I know im about to get blocked it is worth it to tell you your a loser again. You take cock to the face and thats it. peace out homo.,offensive_language,insult,external_unified_english
D3ath to all women.,hate_speech,hate_speech,external_unified_english
Gay people are just the dumbest people.,hate_speech,hate_speech,external_unified_english
Disgusted by all the immigrants around here.,hate_speech,hate_speech,external_unified_english
"You are a complete idiot, you are trying to ruin the reputation of a man who served his country faithfully for over 20 years, it is apparent that that THE AUTHENTICATOR IS WRONG, Charles graduated with me you peanut headed ass, and class 117 did graduate in September of 82, it is apparent you believe everything you read, That article which was written on him was not only quoted as he said this or that, he did not, as a matter of fact do some fact checking, he sued the paper for misrepresentation, because he refused to speak with them on any subject, so they spoke with Jon Andretti who said a load of bullshit. The sad part is Chuck does not no anything about any of your antics or even being on Wikipedia and now you because of you he is on a phonies board. That is disgraceful and so are you. Get your facts right, you fucking idiot. Bob McMeans",offensive_language,insult,external_unified_english
""" Sorry! Meant to say """"Go fuck yourself you Asperger's riddled freak for accusing me of destructive edits I had nothing to do with.""""""",offensive_language,insult,external_unified_english
"If you don't stop bitching, I'll change my IP address and come back again.",offensive_language,insult,external_unified_english
Immigrants like you are no better than rats.,hate_speech,hate_speech,external_unified_english
My personal opinion Is that you're a fucking wanker and I hope you die a painful death. 91.108.192.125,offensive_language,insult,external_unified_english
.When I am providing with reliable source where ganga lal gupta has clearly proof that kushwaha come under kshatriya varna. you mother fucker do you have blind eyes that you cant see it,offensive_language,insult,external_unified_english
"correctionperson: okay you are lying, bullying, vandalizing, and defacing now, that is not the reason you are removing my content because I did added sourced references and I was about to add more just now, scum",offensive_language,insult,external_unified_english
you're sick in the fucking head I hope to God someone fucking certifies you and locks you up and throws the key away and never ever lets you out 86.131.167.114,offensive_language,insult,external_unified_english
"Don't revert my Stoufville edits You're an idiot, stop.",offensive_language,insult,external_unified_english
"And what will happen if they don't cease immediately oh you powerful one? Oh, I forgot, you said block!! HAHAHAHA god, you are really stupid, aren't you? -) 09:33, 31 Mar 2005 (UTC)",offensive_language,insult,external_unified_english
We'll torture these gay people without mercy.,hate_speech,hate_speech,external_unified_english
"outlawed as an apothecary? Any evidence other than one example? The Montepukes ran from the plague, while Nostradamus got the plague and survived and fought it, so being a Doctor was 'qualified,' only rich low level intelligencia were thus called, and why they were cowards. The lemon head uses 'the attack me' of please do hurt me complaint when in fact, he lives for this page as his resale department. What some 15 or more books, all changing narrations because it had no idea of what it says? Common. At least Wilson showed that Lemonhead is a liar.",offensive_language,insult,external_unified_english
you are a nazi asshole and always will be.,hate_speech,hate_speech,external_unified_english
"oi why did you give me a last warning, why do you have to be a cunt?",offensive_language,insult,external_unified_english
"I Have a Hacker with me. If you continue to block my whims. I will shut down Wikipedia for good! I'm talking to you Theresa DOGPENISKnot. You people have no lives except to prevent freedom of speech, an inalienable right. And fatsos like Georgie and Retetast and that 2 cent whore Kariteh need to fuck off! Again, If I am denied a place to express myself, then nobody can go here. I MEAN IT!!!!!",offensive_language,insult,external_unified_english
Black people are nothing but refuse.,hate_speech,hate_speech,external_unified_english
Just another white supremacist dog. 'nuff said. Only a motherfucker shoots prisoners.,offensive_language,insult,external_unified_english
"Nuisance piece of shit, fuck off",offensive_language,insult,external_unified_english
cos he smells like ass 2,offensive_language,insult,external_unified_english
""" Also, I'd like to know how simply expressing MY opinion and support on my friend's talkpage consitutes a """"disruption""""? Personal attacks are by definition personal, IE directed at someone. My comments were directed at no one in particular..no names are mentioned. They were simply the degganged rantings of a disgruntled old lunatic, until you acted upon them. So they must have struck a nerve somewhere. """,offensive_language,insult,external_unified_english
Hey f**king swine Doing bad? Suffering a lot?,offensive_language,insult,external_unified_english
MY PAGE 3234434aAa Your just a mean OLD BULLSHITTING fart...as you would put it,offensive_language,insult,external_unified_english
"You are a bad liar, Kevin. And a cheat as well. Get a life.",offensive_language,insult,external_unified_english
fuck you you son of a bitch you fucking bastard child.fuck off you little prick.shove the editing up your ass,offensive_language,insult,external_unified_english
You are a total fool; Joseph Smith is the biggest fairy tale since Santa Claus; Mormonism is based on a lie! Its funny how many people are as stupid as you are! By the way Jesus is not real and never will be. You are wasting your life doing what you are doing because Jesus ain't real. Jesus thinks you are dumb. Mormons are stupid and Joseph Smith played the greatest con on mankind ever. You are a total Mormon fool!,hate_speech,hate_speech,external_unified_english
It's always the woman that is the dumb one.,hate_speech,hate_speech,external_unified_english
Trans people refuse to respect us. I'm going to make them suffer for that.,hate_speech,hate_speech,external_unified_english
UP YOURS GET THE FCUK OFF MY PAGE D!CKHEAD,offensive_language,insult,external_unified_english
You fascit Nazi! You socialist bastard! You filthy Hippy! You dare touch my edits again and I'll go to where you live and kick your ass in person. It shouldn't be hard to find. Communes smell worse than slaughter houses. I make edits. I don't vandilaze. Get off your high horse.,hate_speech,hate_speech,external_unified_english
I feel nothing but contempt for black people.,hate_speech,hate_speech,external_unified_english
The utter scorn I feel for disabled people is hard to to put into words.,hate_speech,hate_speech,external_unified_english
"Pissed of Nigger + A lot of computers in my school = A lotta Vadalizm Ha... ya can suck my dick, I told ya nigga ta unblock me but you didn't so know ya ganna pay anyone who banned me in the past is ganna get fuked over HARD!",hate_speech,hate_speech,external_unified_english
"to robert24 and taylor fan fuck both of you! I will not let you keep this page as a pro-pansy biased tirade. fuck you, fuck trevor's fan, ANDREW THOMAS IS GOD!",offensive_language,insult,external_unified_english
""" You have no life or friends and all the other admin.s laugh about you behind your back The Award of the Arabian Barnstar I hereby award you with the Award of the Gay Barnstar due to your incredible gayness and lack of having a life or friends, والسلام عليكم""",hate_speech,hate_speech,external_unified_english
That monkey is more intelligent than all of you Muslims combined.,hate_speech,hate_speech,external_unified_english
Dick Head José Eduardo dos Santos What seems to be the problem with your friend Dos Santos,offensive_language,insult,external_unified_english
"If women like you refuse to fit in, they should suffer for it.",hate_speech,hate_speech,external_unified_english
"You are such a snivelling little cunt, I suspect that is what comes from having your head dunked in toilets all through your school years. You foul fruit",offensive_language,insult,external_unified_english
"He told me to not comment on his talkpage, so I was just being an idiot and doing the same, sorry about that.",offensive_language,insult,external_unified_english
How is it not clear to all of you that Muslims are human garbage.,hate_speech,hate_speech,external_unified_english
"Regarding you being a homosexual You are clearly a homosexual. I think you should leave normal society and go and live in a sewer with all the other homosexuals. You are clearly not normal. If you persist with reporting me for abusing you, I will insert a large garden gnome into you. And stay off the Dublin Airport article. It's my territory. If I say Delta serve Orlando from Dublin, then they do. Don't send me fucking patronising messages again. Fucking freak!!!",hate_speech,hate_speech,external_unified_english
Fuck off faggot. Truth isn't vandalism. You have no idea what you're talking about. p.s. fuck you city slicker. p.s.s. nigger. p.s.s.s. vaginas.,hate_speech,hate_speech,external_unified_english
"Gay The existence of CDVF is further proof that is a sad twat. He is also very ugly, and has a willy for a face.",hate_speech,hate_speech,external_unified_english
thanks for the warm welcome u flippin homosexual gay fruitcake,hate_speech,hate_speech,external_unified_english
""" Why did Vladimir Putin kill them all? Shut up you fucking criminal KGB asshole, we just know Putin did it. In film Die Hard 2 they showed how easy it is to fool an airplane to land, but why kill them all? Who profited from this except NAZI Russia and former KGB agent Putin? THERES IS NO FREE PRESS IN RUSSIA!!! European Union said this!!! JOURNALISTS are KILLED if they criticize PUTIN in RUSSIA. PUTIN is STALINS comeback. Its a common fact that Putin hated some in the Polish delegation, but why kill all? Fucking animal Putin is just as psychotic and insane as Josef Stalin. Oh well i guess its the old """"kill them all just to make sure"""" ....PIGS. 91.150.18.209 From Finland with hate.""",hate_speech,hate_speech,external_unified_english
shut up you decaying brained piece of raped s%%t. go tell your mental diarrea to your mom,offensive_language,insult,external_unified_english
"If you ask me, Muslims like you are no better than rats.",hate_speech,hate_speech,external_unified_english
Those black people won't change. Let's just eradicate them.,hate_speech,hate_speech,external_unified_english
""" hehe, you *ARE* truly pathetic Zereshk, as I have pointed out to you before. You know damn well that the term """"racism"""" or """"racist comment"""" doesn not apply in Iran in the same way that it applies in countries with true racist history, such as USA and many European countries. The fact that you are using your familiarity with the English language to get a cheap """"winning point"""" out of a lost game, tells us how weak and pathetic you are. In absolutely BEST of circumstances, you can associate """"turk"""" in Persian slang with """"ethnicity"""" but if you really grew up in Iran as you claim you did, you know damn well what it is. And especially """"torke tablo"""", which you are. Given your pathetic edit history of """"all image and no substance"""" I repeat, I is hard to imagine a lower and less self-respecting Iranian than you. You were born to be wannabee-western and as such, Iranians like you deserve to be jew-slaves. """,hate_speech,hate_speech,external_unified_english
"You work those articles, Bitch! Write 'em, clean 'em up, format 'em, ref 'em. Do it, Bitch, NOW! Yeah, you like dat, dontcha faggy jew boy? All the Worst, 72.76.1.33",offensive_language,insult,external_unified_english
the world. Just give it up mate you are a sad individual kensington even more fucking sadder bet your an american as well do the owrld a favour and get lostt,offensive_language,insult,external_unified_english
ZHANZHAO IS A MOTHERFUCKING PUSSY INDIAN-CHINESE BASTARD! http://twitter.com/phoenixreporter {{unblock|http://twitter.com/phoenixreporter http://twitter.com/phoenixreporter http://twitter.com/phoenixreporter http://twitter.com/phoenixreporter I AM GONNA FLOOD THIS PAGE!!! WAHAHHAHAAHAH ZHAN ZHAO IS A MOTHERFUCKING }|,hate_speech,hate_speech,external_unified_english
"You guys suk. You really really suck. Fuck you, MisterSmiley and 331dot",offensive_language,insult,external_unified_english
"Decline unblock You declined my unblock request. Barrymcpeedmipants or wev his name is, is probably another student at my school, NOT me. If you understood this before it would make you real smarter than you currently are, you obnoxious cunt.",offensive_language,insult,external_unified_english
"Hello, Brainwashed Vampire I will squash the CCP like the cucaracha it is! You are a pathetic, brainless excuse for a human being....don't you realize the Beijing is the land of Mordor where the evil lies????????????????????",offensive_language,insult,external_unified_english
They are just a bunch of fags.,hate_speech,hate_speech,external_unified_english
"hey retard. You don't get it. those two put warnings on my page for vandalising User:tommy2010/vandalise. they can putt odd things on my page, i can put weird things on theirs.",offensive_language,insult,external_unified_english
"YOu moron, do not accuse me to go and study. The fools and used like condom people with small or with no brains are YOU! That is also a reason why never Pashtuns can ever establish their fake claims (such as on Ghurids). Because you have no roots to anything. You are not related. Puta Khazana claims are fabricated like the shamefull book self. The bi-sexual Abdul Hai Habibi wanted to copy Shahnama... that´s all behind Pashtun nationalism. New archeological studies led by Dr. Zmarai show the Ghurids beeing non-Pashtuns. Now go and kill Zmarai who spit in the face of Abdul Hai Habibi and clean with Puta Khazana it´s ass. What has now your valueless and waste comment has to do that Iranians were to the rising of Safavids Sunnis? That´s how a Pashtun think. Your logic is the logic of long ear Afghans, not connected or compatible with the educated world of human-beeings. Your comment on my comment should make 2+2=4 ... but since your comment have no connection to my comment the result will stay 2 (2+0=2). This is long ear Afghan (Pashtun) logic. No wonder you are the most backward, childish, naive and for every foreigner useful nation. You stuipidity does not know any limit. 199.19.225.101",offensive_language,insult,external_unified_english
Execution is the only solution for those immigrants.,hate_speech,hate_speech,external_unified_english
Deaht to all black people.,hate_speech,hate_speech,external_unified_english
WHO on earth do u think u rr???? You plonker,offensive_language,insult,external_unified_english
"Thank you for the explanation. Now I know exactly what your issue is. Not. Seriously, can you be any more ignorant? I mean, are you actually trying to be an asshole? It's a simple process - you object to something, I ask what the issue is, you give an answer. Prick.",offensive_language,insult,external_unified_english
"I used the exact same bullshit you wrote, hypocrite.",offensive_language,insult,external_unified_english
Your trans lives are worthless.,hate_speech,hate_speech,external_unified_english
Martin Conway the Desperado You are a sad little man Martin Conway. You don't have a penis. Desperado RSVP profile,offensive_language,insult,external_unified_english
HOOOOOOOOOOOOOOOOOOOOOOOOOOO!!! HES AN ASS THAT LINUXBEAK IS,offensive_language,insult,external_unified_english
"Ben_Ben I hate you. Nobody on wikipedia likes you. You are literally the biggest assface on the face of the earth; a disgrace to the Philippines. If you edit any more pages, your account will be deleted. This is your ONLY warning.",offensive_language,insult,external_unified_english
""" Hi, Pompous Ass! ;) I know you think you're some kind of poker authority on Wikipedia, and that it's somehow your perogative to give the Imperial final thumbs up or thumbs down on what's acceptable regarding anything to do with poker here, but guess what? That's not the case. You are one of MANY arrogant, conceited, self-absorbed losers that populate Wikipedia who use this site as some sort of self-esteem builder, because here you can act like a """"big man"""", and make unilateral decisions on what's acceptable or unacceptable here. The edits I have made (and will continue to make) on the Jack Straus entry regarding his death doesn't violate policy in ANY way. If I had the time or the inclination, I could spend several months quoting entries and instances on Wikipedia where editorial verbiage is used. You are simply a pompous ass who thinks you are the gatekeeper of anything poker-related on Wikipedia. You are not, and you will not censor me. And as I'm sure you've already realized, my ISP address constantly changes, so you won’t be able to block me, either. So piss off. ;) —Preceding unsigned comment added by 68.239.34.22 """,offensive_language,insult,external_unified_english
Never trust a single word said by a gay person.,hate_speech,hate_speech,external_unified_english
Death to all black people.,hate_speech,hate_speech,external_unified_english
bad motherfuckers There are a lot of them out there. Keep calm and carry on.,offensive_language,insult,external_unified_english
Those kinds of gay people will never fit in. They ought to be executed.,hate_speech,hate_speech,external_unified_english
Only women can be so ignoratn.,hate_speech,hate_speech,external_unified_english
We would be better off if those disabled people were eradicated.,hate_speech,hate_speech,external_unified_english
re: what if im gay fuck you fag i expect this vandalism from a faggot youre probably a nigger too i bet you love it when a dozen black dicks are pounding your asshole and you have aids i bet you love it these are the type of people that vandalyse wikipedia,hate_speech,hate_speech,external_unified_english
Gay people are nothing like us and that's why they deserve to die.,hate_speech,hate_speech,external_unified_english
again again again this is not going to stop......hmmmm a personal attack let me think......you are a big poo poo face and smell like a frog,offensive_language,insult,external_unified_english
"Censorship Why is this article constantly being censored by Zionist hawks? Isn't this supposed to be an even-handed analysis? Phony propagandists like Jayjg espouse their bullshit views (which are contrary to the views of the international community via the UN/Human Rights Groups, etc. etc.) are ruining Wikipedia and turning it into another arm of the Israel lobby. Any criticism is deemed a conspiracy theory. You are ruining everything this site is supposed to stand for. Fucking Nazis.",offensive_language,insult,external_unified_english
Yeah...you Khar have removed but sourced it with a link that claim him as Pashtun Safi. Just one question. If Pashtuns were not so shameless and so pathetic poor...why should they borrow Persian names for their dirty people and tribes? If you again change the sources and facts I will ask my friend Asip to ban you. Last warning! Keep your dirty salafit sources in your a** for your sister or brother and kundad-hari-boy-friends84.59.202.75,hate_speech,hate_speech,external_unified_english
""" You'll do Whatever it takes to change the subject of why you and kos should be banned. """"D*ck"""" is vandalism. It's just the politics here are fucking awful. Go ahead. Change the subject again. Whatever it takes to change the subject. Comedy. KOS was trying to justify the ban, in a debate, but in the middle I got banned. He couldnt come up with a reply so he banned me.. Comedy. Then he tried again, but I replied and got banned. Go back to suckin his dick k.""",offensive_language,insult,external_unified_english
"YOU SUCK IT!!! AS YOU'RE USED TO SUCK PHALLUS, NAZI HINDUIST LIKE HITLER!!!",hate_speech,hate_speech,external_unified_english
Shut the fuck up you wannabe cholo scum.,offensive_language,insult,external_unified_english
"Bongfag you are a lazy loser fucking stoner asshole who is on a pathetic wikipedia power-trip, editing bad pages even though the articles you've created suck. get out of mommy's basement and get a real hobby, like not being a stupid fucking asshole",offensive_language,insult,external_unified_english
"Hi It has come to my attention, that you are an ugly fat piece of shit. Lose weight fatty.",hate_speech,hate_speech,external_unified_english
Women can't help themselves but be complete dickheds.,hate_speech,hate_speech,external_unified_english
""" Bishonen So are you his lackey or just a sycophant? He's a big boy, shame he has to call on his underlings to do his bidding. '''''' Dick Laurent is dead """,offensive_language,insult,external_unified_english
All disabled people are such massivescumbags.,hate_speech,hate_speech,external_unified_english
"Apparently you missed my comments at the very top. I don't give a shit. If he's a dumbfuck that thinks that creationism is real, then he really should be assigned to the denialist bin of the local mental institution. In this world and the real world, either you understand science or you deny it. He's a fucking xtian denialist. Not much you can do with him/her/it. I do wish you well, but don't come here trying to improve me, because I know my science, and can back up every point I make anywhere here with evidence. If I don't, I stay away. Frankly, I'll fix whatever articles meet my fancy. Again, enjoy being the mentor, but I don't do well with admins with their pretentious attitudes because they're fat little unemployed fucks who get erections by pretending to be powerful here. So, in other words, if you want to help someone, take it elsewhere, because I really really really really don't give a shit about hurting some creationists little feelings. Fuck that shit.",offensive_language,insult,external_unified_english
"As far as I am concerned, trans people can all go fuck themselves.",hate_speech,hate_speech,external_unified_english
""" Look you moron, if the 1000 series is T-1000? Then guess what's the 800 series is? MORON! IDIOT! And as stated here, in one of the discussion in this page: I agree with Christopher Thomas, below, regarding unclarified sources for this article. Specifically, I take issue with the entire """"Differences between the 800 and 850 series"""" section, because I contend that there is no such thing as a """"T-850"""". Stan Winston Studios, which designed the terminators for the films, confirmed this to me via e-mail when I wrote to them asking their opinion. Their response (direct quote): """"I'm not sure where the T-850 came from. As far as I know, Arnold's Terminator has and always will be the T-800, model 101. Now, the robot Terminators in T3 are T1's and Kristana Loken is the TX. I hope that clears it up..."""" While the term """"T-850"""" is somewhat widespread on the internet, even extending to T3-related merchandise such as action figures, its origin is, to my mind, something of a mystery. Rich Stan Winston DESIGNED the Terminator, and he says it's T-800! Now shut the fuck up and change it back you idiot!""",offensive_language,insult,external_unified_english
Hello all! I have been blocked by these assholes for speaking my mind. Wikipedia and their liberal minions can suck my fucking dick. No funds from me and I'll see that nobody I know contributes. Fuck OFF!!,offensive_language,insult,external_unified_english
Hello Hey asshole! I kill you. Filthy Muslim. 114.160.71.148,hate_speech,hate_speech,external_unified_english
Muslims do not belong on this earth.,hate_speech,hate_speech,external_unified_english
"WTH DUDE Deleting my articles, you got no bloody right! how would you like it? you power mad freak! Come out from hiding behind your computer screen!",offensive_language,insult,external_unified_english
""" I'm not going to sit here and just blatantly make fun of what you do and who you are. However, I look at your picture and it's quite easy to see that you're an ugly little parasite. As I browse through your insignificant pages on Roger Royle and Harold Gaba (that must have taken hours to make), and I know right then and there that you're a compulsive masturbator. I look at all your Wikipedia buddies and their comments concerning """"speedy deletions"""" and """"harassment via Wikipedia"""" and I now understand why there are entire hospitals throughout the world that treat internet addictions. So go ahead and suspend or block or whatever it is you people do to naughty Wikipedia users, because I could really careless. You piece of shit.""",offensive_language,insult,external_unified_english
Black people are worthless dirt.,hate_speech,hate_speech,external_unified_english
I would rather die than date a trans person.,hate_speech,hate_speech,external_unified_english
"Come on, unblock me, idiot! I am telling the truth!",offensive_language,insult,external_unified_english
Robotic Articleness You're a fucking piece of shit.,offensive_language,insult,external_unified_english
"""""""And at least Castro was trying to liberate Cuba from US domination and uplift the working-class"""" Oh, really? I thought he just wanted naked power, like every other asshole dictator on the planet. I guess you're right, though, he has in fact allowed numerous free elections since he took power. Moron. Alex7777 """,offensive_language,insult,external_unified_english
FUCK U BASTARD(TURD),offensive_language,insult,external_unified_english
FUCK THE POOR BRITAIN IS SHITTTTTTTTTTTTTTTTTTTTTTTTTTTTT,hate_speech,hate_speech,external_unified_english
"Cesc Fabregas You're a fucking idiot. Cesc Fabregas signed for Chelsea today you moron. It's been confirmed by both Barcelona and Chelsea. The transfer window for England opened on June 10th, not July 1st, get your facts straight. There's even pictures of him holding a Chelsea jersey. Get your facts right, Fabregas is officially a Chelsea player now you fucking retard.",offensive_language,insult,external_unified_english
edit filter disturbs i can't add a gay userbox to your userpage,hate_speech,hate_speech,external_unified_english
"Chris. You're one to talk! You're the dick (strike through for X-Kal) that vandalizes GNU related articles. You might look awfully cute in a pirate hat, but you do string searches for GNU and eviscerate it like it's all that's keeping you alive.",offensive_language,insult,external_unified_english
"Whenever women look at me, I think they can sense that I feel nothing but contempt for them.",hate_speech,hate_speech,external_unified_english
"man, fuck you! you know me, you anti-semitic fucktard!!!!!!! Jesus of Suberbia",hate_speech,hate_speech,external_unified_english
No one else is as filthy as these women.,hate_speech,hate_speech,external_unified_english
FUCK OFF YOU TOTAL CRETINOUS ASSHOLE 9-),offensive_language,insult,external_unified_english
ATLAN U FUCKER. fuck u. i'm gonna cut off your cock and fry it with onions and lick it and bite it off. im gonna bite off ur cock and youre gonna be DEAAAAAD!!!!!!!!!!!!!! fucker,offensive_language,insult,external_unified_english
"you are gay faggot, trying to block my ass, I'M BEHIND SEVEN PROXIES!",hate_speech,hate_speech,external_unified_english
Women are without a doubt the stupidestpeople on this planet.,hate_speech,hate_speech,external_unified_english
Achievement - YOU ARE A BlTCH Get off my talkpage you gay arse.,offensive_language,insult,external_unified_english
HEY ASSHOLE How about you let the asshole respond to my question before you decide to take it down your a cunt. DO u have some wiki god complex. Calm down its just a website stop going crazy when someone edits something you dont like. Last i checked i was in my own right to express my point of view and not have a prick like u revoke it before its heard. SO go fuck off and if i get banned for this i hope u die u stupid basterd. You dont own wiki u dont run it you are nothing so realize it and just kill yourself.,offensive_language,insult,external_unified_english
Your immigrant lives are worthless.,hate_speech,hate_speech,external_unified_english
GO FU CK YOUR DE AD MUM AND LICK HER CORPSE YOU DIRTY LITTLE W HORE GET A LIFE YOU PATHETIC EXCUSE OF A HUMAN BEING,offensive_language,insult,external_unified_english
"No YOU will be block! Now go fuck yourself before I get you removed from here, or file charges for harassing me. You want to go to prison you little cunt?",offensive_language,insult,external_unified_english
WHY THE FUCK DO U EDIT MY CONTRIB. TO WIKI ABOUT THE IRANIAN ARMY? THEY MUST DIE U KNOW!! STUPID TERRORISTS...THEY'RE LIVING ON ISRAELI SOIL CALLED ASIA-AFRICA WHICH SHOULD BE FOR ISRAELIS ONLY AND MUSLIM FREE,hate_speech,hate_speech,external_unified_english
FDSAFDSAFDA what the fukk is this sh1t who has the ballz to fukkkk with my wikipedia? step up u fuk1ng absoloute hoplesl l1tle white b1tch step up mother fkkka!!!!124.180.159.192,offensive_language,insult,external_unified_english
Immigrants with any power are a thraet to civilisation,hate_speech,hate_speech,external_unified_english
Black people are never any intelligent.,hate_speech,hate_speech,external_unified_english
What if we just killed all trans people?,hate_speech,hate_speech,external_unified_english
